match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,1.5,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,2,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,1.6,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,2.1,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,2.2,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,2.3,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,2.4,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,2.5,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,2.6,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,3.1,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,L Ngidi,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,3.2,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,0,0,,,,,,,,,
